Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,2.64,2.65,2.53,2.58,18954700,2.58,0.0,2.58,2.58
2016-01-05,2016,1,5,Tuesday,01,2016-01,2.6,2.61,2.55,2.56,13506500,2.56,-0.007751930820906638,2.5700000000000003,2.5700000000000003
2016-01-06,2016,1,6,Wednesday,01,2016-01,2.54,2.58,2.5,2.57,9152400,2.57,0.003906246362021193,2.57,2.57
2016-01-07,2016,1,7,Thursday,01,2016-01,2.52,2.59,2.46,2.48,8124700,2.48,-0.03501942276541248,2.5475,2.5475
2016-01-08,2016,1,8,Friday,01,2016-01,2.51,2.51,2.39,2.41,7719400,2.41,-0.02822577931630399,2.52,2.52
2016-01-11,2016,1,11,Monday,02,2016-02,2.43,2.44,2.36,2.39,15023500,2.39,-0.008298746976857507,2.4983333333333335,2.4983333333333335
2016-01-12,2016,1,12,Tuesday,02,2016-02,2.4,2.46,2.38,2.39,18810500,2.39,0.0,2.4828571428571427,2.4828571428571427
2016-01-13,2016,1,13,Wednesday,02,2016-02,2.42,2.43,2.35,2.37,12406400,2.37,-0.00836829224570046,2.46875,2.46875
2016-01-14,2016,1,14,Thursday,02,2016-02,2.4,2.44,2.31,2.4,8426500,2.4,0.012658316986067009,2.461111111111111,2.461111111111111
2016-01-15,2016,1,15,Friday,02,2016-02,2.33,2.38,2.28,2.37,9795000,2.37,-0.012500086923436848,2.452,2.452
2016-01-19,2016,1,19,Tuesday,03,2016-03,2.37,2.4,2.24,2.28,13495900,2.28,-0.03797464916251703,2.4363636363636365,2.4363636363636365
2016-01-20,2016,1,20,Wednesday,03,2016-03,2.25,2.26,2.15,2.23,27983100,2.23,-0.02192980392267585,2.419166666666667,2.419166666666667
2016-01-21,2016,1,21,Thursday,03,2016-03,2.23,2.38,2.22,2.33,11220200,2.33,0.04484300617814174,2.4123076923076923,2.4123076923076923
2016-01-22,2016,1,22,Friday,03,2016-03,2.35,2.42,2.35,2.4,10704600,2.4,0.030042993113079675,2.4114285714285715,2.4114285714285715
2016-01-25,2016,1,25,Monday,04,2016-04,2.4,2.43,2.37,2.38,10513900,2.38,-0.0083333250549108,2.3971428571428572,2.4093333333333335
2016-01-26,2016,1,26,Tuesday,04,2016-04,2.39,2.46,2.38,2.41,13846500,2.41,0.01260502938959629,2.386428571428571,2.409375
2016-01-27,2016,1,27,Wednesday,04,2016-04,2.42,2.45,2.39,2.41,10310500,2.41,0.0,2.375,2.4094117647058826
2016-01-28,2016,1,28,Thursday,04,2016-04,2.43,2.49,2.4,2.42,11531800,2.42,0.004149373488428809,2.3707142857142856,2.41
2016-01-29,2016,1,29,Friday,04,2016-04,2.44,2.46,2.39,2.46,8773700,2.46,0.01652890933552542,2.3742857142857146,2.4126315789473685
2016-02-01,2016,2,1,Monday,05,2016-05,2.42,2.49,2.36,2.44,11359300,2.44,-0.008130073421291018,2.3778571428571427,2.414
2016-02-02,2016,2,2,Tuesday,05,2016-05,2.4,2.45,2.33,2.36,12652400,2.36,-0.032786950921536606,2.3757142857142854,2.4114285714285715
2016-02-03,2016,2,3,Wednesday,05,2016-05,2.38,2.39,2.29,2.35,11766900,2.35,-0.004237284282951559,2.3742857142857146,2.4086363636363637
2016-02-04,2016,2,4,Thursday,05,2016-05,2.34,2.42,2.32,2.38,8391900,2.38,0.012766047245027501,2.3728571428571428,2.407391304347826
2016-02-05,2016,2,5,Friday,05,2016-05,2.37,2.37,2.2,2.28,19699200,2.28,-0.04201686480785671,2.3664285714285715,2.402083333333333
2016-02-08,2016,2,8,Monday,06,2016-06,2.25,2.25,2.06,2.09,28973200,2.09,-0.08333335947572174,2.3528571428571428,2.3896
2016-02-09,2016,2,9,Tuesday,06,2016-06,2.09,2.15,1.93,2.03,33783300,2.03,-0.028708107772046687,2.338571428571428,2.3757692307692304
2016-02-10,2016,2,10,Wednesday,06,2016-06,2.07,2.15,2.06,2.13,17539500,2.13,0.04926115490666039,2.3242857142857143,2.3666666666666667
2016-02-11,2016,2,11,Thursday,06,2016-06,1.8,1.88,1.78,1.81,33946300,1.81,-0.15023481430439756,2.282142857142857,2.3467857142857143
2016-02-12,2016,2,12,Friday,06,2016-06,1.82,1.86,1.81,1.83,19773000,1.83,0.011049779429876505,2.242857142857143,2.3289655172413797
2016-02-16,2016,2,16,Tuesday,07,2016-07,1.82,1.96,1.82,1.83,28531300,1.83,0.0,2.2014285714285715,2.3123333333333336
2016-02-17,2016,2,17,Wednesday,07,2016-07,1.86,1.9,1.85,1.87,30186100,1.87,0.021857902139337693,2.162857142857143,2.298064516129032
2016-02-18,2016,2,18,Thursday,07,2016-07,1.89,1.9,1.85,1.86,25689000,1.86,-0.005347588469389097,2.122857142857143,2.284375
2016-02-19,2016,2,19,Friday,07,2016-07,1.85,2.03,1.84,1.99,26052400,1.99,0.0698924700171013,2.0892857142857144,2.2754545454545454
2016-02-22,2016,2,22,Monday,08,2016-08,1.99,2.05,1.97,1.97,8822600,1.97,-0.010050241623450806,2.0557142857142856,2.2664705882352942
2016-02-23,2016,2,23,Tuesday,08,2016-08,1.96,2.04,1.95,2.0,8509100,2.0,0.01522841165181843,2.03,2.258857142857143
2016-02-24,2016,2,24,Wednesday,08,2016-08,1.99,2.08,1.97,2.07,8533800,2.07,0.034999966621398926,2.0100000000000002,2.253611111111111
2016-02-25,2016,2,25,Thursday,08,2016-08,2.06,2.19,2.06,2.14,10580000,2.14,0.03381650913955192,1.9928571428571427,2.2505405405405403
2016-02-26,2016,2,26,Friday,08,2016-08,2.13,2.2,2.1,2.16,10152800,2.16,0.009345785021542818,1.9842857142857144,2.2481578947368424
